# Port-to-port sea distances in centitiles, keyed by mooring LAND tiles so index
# order never matters. GENERATED by scripts/rekey_sea_matrix.py from the tooling
# repo's docs/sailing-sea-matrix.tsv + docs/mooring-points.tsv — do not edit by hand.
fromLandX	fromLandY	toLandX	toLandY	centitiles
2095	3188	2996	2287	129390
2095	3188	2965	2608	110929
2095	3188	1922	2759	48462
2095	3188	1958	3113	17168
2095	3188	2960	3146	134838
2095	3188	1953	4056	90256
2095	3188	3060	2638	119315
2095	3188	3069	2986	121511
2095	3188	3050	3192	139538
2079	3689	2059	2605	113505
2079	3689	2095	3188	53985
2079	3689	3173	2368	193111
2079	3689	3145	2824	176386
2079	3689	2143	3121	61478
2079	3689	2157	3325	41290
2079	3689	2148	3531	21257
2079	3689	2151	3880	22128
2079	3689	2193	2319	143085
2079	3689	1201	2733	150009
2079	3689	2220	3466	30575
2079	3689	2282	2821	103919
2079	3689	3353	2215	216335
2079	3689	2344	2268	152694
2079	3689	2320	2774	107599
2079	3689	2305	3689	22835
2079	3689	2310	3781	25135
2079	3689	2411	3781	35387
2079	3689	2467	2718	115307
2079	3689	1451	2969	123937
2079	3689	2532	2531	136456
2079	3689	1513	2973	119264
2079	3689	1506	3402	74097
2079	3689	2542	3764	48473
2079	3689	2569	2295	159541
2079	3689	2569	2295	159441
2079	3689	1555	2772	117410
2079	3689	2579	2843	120763
2079	3689	2612	3841	56927
2079	3689	2660	2392	154256
2079	3689	2651	2677	131273
2079	3689	2685	3162	156225
2079	3689	2670	3266	166885
2079	3689	2629	3704	55387
2079	3689	2751	2951	141020
2079	3689	2746	3304	172819
2079	3689	1726	3453	51117
2079	3689	2808	2509	155631
2079	3689	1758	2655	114853
2079	3689	1776	3141	69644
2079	3689	2759	3229	170991
2079	3689	2796	3413	184695
2079	3689	2849	2325	170165
2079	3689	2878	3335	184760
2079	3689	1844	3688	26254
2079	3689	2860	3970	85305
2079	3689	1873	2983	79709
2079	3689	2907	3225	185137
2079	3689	1862	3307	49093
2079	3689	1892	3428	37009
2079	3689	2927	4055	95627
2079	3689	2996	2287	182745
2079	3689	2965	2608	164284
2079	3689	1922	2759	101398
2079	3689	1958	3113	64445
2079	3689	2960	3146	188193
2079	3689	1953	4056	39568
2079	3689	3060	2638	172670
2079	3689	3069	2986	174866
2079	3689	3050	3192	192893
3173	2368	2059	2605	117773
3173	2368	2095	3188	139756
3173	2368	2079	3689	193111
3173	2368	3145	2824	54004
3173	2368	2143	3121	131946
3173	2368	2157	3325	152778
3173	2368	2148	3531	174094
3173	2368	2151	3880	210657
3173	2368	2193	2319	100228
3173	2368	1201	2733	205960
3173	2368	2220	3466	175040
3173	2368	2282	2821	100853
3173	2368	3353	2215	23615
3173	2368	2344	2268	85276
3173	2368	2320	2774	96251
3173	2368	2305	3689	195694
3173	2368	2310	3781	203703
3173	2368	2411	3781	210211
3173	2368	2467	2718	80667
3173	2368	1451	2969	186944
3173	2368	2532	2531	68012
3173	2368	1513	2973	182271
3173	2368	1506	3402	200110
3173	2368	2542	3764	222498
3173	2368	2569	2295	62523
3173	2368	2569	2295	62423
3173	2368	1555	2772	171423
3173	2368	2579	2843	78009
3173	2368	2612	3841	230952
3173	2368	2660	2392	52072
3173	2368	2651	2677	62356
3173	2368	2685	3162	97968
3173	2368	2670	3266	108628
3173	2368	2629	3704	229412
3173	2368	2751	2951	75432
3173	2368	2746	3304	114562
3173	2368	1726	3453	185149
3173	2368	2808	2509	39908
3173	2368	1758	2655	147784
3173	2368	1776	3141	173456
3173	2368	2759	3229	111953
3173	2368	2796	3413	120900
3173	2368	2849	2325	34595
3173	2368	2878	3335	108866
3173	2368	1844	3688	195930
3173	2368	2860	3970	257593
3173	2368	1873	2983	147308
3173	2368	2907	3225	97118
3173	2368	1862	3307	165751
3173	2368	1892	3428	171460
3173	2368	2927	4055	252785
3173	2368	2996	2287	19672
3173	2368	2965	2608	32962
3173	2368	1922	2759	134501
3173	2368	1958	3113	146552
3173	2368	2960	3146	87184
3173	2368	1953	4056	229910
3173	2368	3060	2638	33984
3173	2368	3069	2986	68668
3173	2368	3050	3192	89970
3145	2824	2059	2605	114504
3145	2824	2095	3188	123031
3145	2824	2079	3689	176386
3145	2824	3173	2368	54004
3145	2824	2143	3121	115221
3145	2824	2157	3325	136053
3145	2824	2148	3531	157369
3145	2824	2151	3880	193932
3145	2824	2193	2319	109342
3145	2824	1201	2733	196432
3145	2824	2220	3466	158315
3145	2824	2282	2821	86508
3145	2824	3353	2215	66915
3145	2824	2344	2268	98623
3145	2824	2320	2774	85208
3145	2824	2305	3689	178969
3145	2824	2310	3781	186978
3145	2824	2411	3781	193486
3145	2824	2467	2718	70498
3145	2824	1451	2969	175784
3145	2824	2532	2531	69302
3145	2824	1513	2973	171111
3145	2824	1506	3402	183385
3145	2824	2542	3764	205773
3145	2824	2569	2295	78590
3145	2824	2569	2295	78490
3145	2824	1555	2772	160935
3145	2824	2579	2843	57240
3145	2824	2612	3841	214227
3145	2824	2660	2392	65112
3145	2824	2651	2677	53287
3145	2824	2685	3162	69002
3145	2824	2670	3266	71536
3145	2824	2629	3704	212687
3145	2824	2751	2951	46466
3145	2824	2746	3304	66740
3145	2824	1726	3453	168424
3145	2824	2808	2509	46133
3145	2824	1758	2655	141808
3145	2824	1776	3141	156731
3145	2824	2759	3229	63425
3145	2824	2796	3413	72372
3145	2824	2849	2325	58811
3145	2824	2878	3335	60338
3145	2824	1844	3688	179205
3145	2824	2860	3970	242605
3145	2824	1873	2983	136148
3145	2824	2907	3225	48590
3145	2824	1862	3307	149026
3145	2824	1892	3428	154735
3145	2824	2927	4055	239581
3145	2824	2996	2287	57152
3145	2824	2965	2608	28485
3145	2824	1922	2759	124013
3145	2824	1958	3113	129827
3145	2824	2960	3146	38656
3145	2824	1953	4056	213185
3145	2824	3060	2638	20726
3145	2824	3069	2986	18939
3145	2824	3050	3192	40241
2143	3121	2059	2605	53924
2143	3121	2095	3188	8330
2143	3121	2079	3689	61478
2143	3121	3173	2368	131946
2143	3121	3145	2824	115221
2143	3121	2157	3325	21097
2143	3121	2148	3531	42461
2143	3121	2151	3880	79024
2143	3121	2193	2319	83408
2143	3121	1201	2733	103971
2143	3121	2220	3466	43407
2143	3121	2282	2821	42754
2143	3121	3353	2215	155170
2143	3121	2344	2268	93017
2143	3121	2320	2774	46434
2143	3121	2305	3689	64061
2143	3121	2310	3781	72070
2143	3121	2411	3781	78578
2143	3121	2467	2718	54142
2143	3121	1451	2969	77899
2143	3121	2532	2531	75291
2143	3121	1513	2973	73226
2143	3121	1506	3402	70492
2143	3121	2542	3764	90865
2143	3121	2569	2295	98376
2143	3121	2569	2295	98276
2143	3121	1555	2772	71194
2143	3121	2579	2843	59598
2143	3121	2612	3841	99319
2143	3121	2660	2392	93091
2143	3121	2651	2677	70108
2143	3121	2685	3162	95060
2143	3121	2670	3266	105720
2143	3121	2629	3704	97779
2143	3121	2751	2951	79855
2143	3121	2746	3304	111654
2143	3121	1726	3453	54729
2143	3121	2808	2509	94466
2143	3121	1758	2655	60270
2143	3121	1776	3141	45504
2143	3121	2759	3229	109826
2143	3121	2796	3413	123530
2143	3121	2849	2325	109000
2143	3121	2878	3335	123595
2143	3121	1844	3688	64504
2143	3121	2860	3970	127697
2143	3121	1873	2983	30642
2143	3121	2907	3225	123972
2143	3121	1862	3307	35538
2143	3121	1892	3428	40306
2143	3121	2927	4055	138019
2143	3121	2996	2287	121580
2143	3121	2965	2608	103119
2143	3121	1922	2759	43976
2143	3121	1958	3113	18696
2143	3121	2960	3146	127028
2143	3121	1953	4056	98277
2143	3121	3060	2638	111505
2143	3121	3069	2986	113701
2143	3121	3050	3192	131728
2157	3325	2059	2605	74660
2157	3325	2095	3188	15140
2157	3325	2079	3689	41290
2157	3325	3173	2368	152778
2157	3325	3145	2824	136053
2157	3325	2143	3121	21097
2157	3325	2148	3531	22273
2157	3325	2151	3880	58836
2157	3325	2193	2319	104144
2157	3325	1201	2733	117037
2157	3325	2220	3466	23219
2157	3325	2282	2821	63586
2157	3325	3353	2215	176002
2157	3325	2344	2268	113753
2157	3325	2320	2774	67266
2157	3325	2305	3689	43873
2157	3325	2310	3781	51882
2157	3325	2411	3781	58390
2157	3325	2467	2718	74974
2157	3325	1451	2969	90965
2157	3325	2532	2531	96123
2157	3325	1513	2973	86292
2157	3325	1506	3402	66996
2157	3325	2542	3764	70677
2157	3325	2569	2295	119208
2157	3325	2569	2295	119108
2157	3325	1555	2772	84413
2157	3325	2579	2843	80430
2157	3325	2612	3841	79131
2157	3325	2660	2392	113923
2157	3325	2651	2677	90940
2157	3325	2685	3162	115892
2157	3325	2670	3266	126552
2157	3325	2629	3704	77591
2157	3325	2751	2951	100687
2157	3325	2746	3304	132486
2157	3325	1726	3453	46320
2157	3325	2808	2509	115298
2157	3325	1758	2655	78014
2157	3325	1776	3141	48008
2157	3325	2759	3229	130658
2157	3325	2796	3413	144362
2157	3325	2849	2325	129832
2157	3325	2878	3335	144427
2157	3325	1844	3688	48325
2157	3325	2860	3970	107509
2157	3325	1873	2983	44808
2157	3325	2907	3225	144804
2157	3325	1862	3307	30312
2157	3325	1892	3428	29020
2157	3325	2927	4055	117831
2157	3325	2996	2287	142412
2157	3325	2965	2608	123951
2157	3325	1922	2759	62876
2157	3325	1958	3113	28864
2157	3325	2960	3146	147860
2157	3325	1953	4056	78089
2157	3325	3060	2638	132337
2157	3325	3069	2986	134533
2157	3325	3050	3192	152560
2148	3531	2059	2605	94968
2148	3531	2095	3188	35448
2148	3531	2079	3689	21257
2148	3531	3173	2368	174094
2148	3531	3145	2824	157369
2148	3531	2143	3121	42461
2148	3531	2157	3325	22273
2148	3531	2151	3880	38371
2148	3531	2193	2319	124452
2148	3531	1201	2733	133563
2148	3531	2220	3466	10801
2148	3531	2282	2821	84902
2148	3531	3353	2215	197318
2148	3531	2344	2268	134061
2148	3531	2320	2774	88582
2148	3531	2305	3689	23493
2148	3531	2310	3781	31502
2148	3531	2411	3781	38010
2148	3531	2467	2718	96290
2148	3531	1451	2969	107491
2148	3531	2532	2531	117439
2148	3531	1513	2973	102818
2148	3531	1506	3402	67468
2148	3531	2542	3764	50297
2148	3531	2569	2295	140524
2148	3531	2569	2295	140424
2148	3531	1555	2772	100964
2148	3531	2579	2843	101746
2148	3531	2612	3841	58751
2148	3531	2660	2392	135239
2148	3531	2651	2677	112256
2148	3531	2685	3162	137208
2148	3531	2670	3266	147868
2148	3531	2629	3704	57211
2148	3531	2751	2951	122003
2148	3531	2746	3304	153802
2148	3531	1726	3453	45112
2148	3531	2808	2509	136614
2148	3531	1758	2655	96316
2148	3531	1776	3141	57366
2148	3531	2759	3229	151974
2148	3531	2796	3413	165678
2148	3531	2849	2325	151148
2148	3531	2878	3335	165743
2148	3531	1844	3688	34530
2148	3531	2860	3970	87129
2148	3531	1873	2983	61393
2148	3531	2907	3225	166120
2148	3531	1862	3307	36863
2148	3531	1892	3428	28100
2148	3531	2927	4055	97451
2148	3531	2996	2287	163728
2148	3531	2965	2608	145267
2148	3531	1922	2759	82861
2148	3531	1958	3113	45908
2148	3531	2960	3146	169176
2148	3531	1953	4056	58056
2148	3531	3060	2638	153653
2148	3531	3069	2986	155849
2148	3531	3050	3192	173876
2151	3880	2059	2605	131531
2151	3880	2095	3188	72011
2151	3880	2079	3689	22128
2151	3880	3173	2368	210657
2151	3880	3145	2824	193932
2151	3880	2143	3121	79024
2151	3880	2157	3325	58836
2151	3880	2148	3531	38371
2151	3880	2193	2319	161015
2151	3880	1201	2733	168035
2151	3880	2220	3466	45158
2151	3880	2282	2821	121465
2151	3880	3353	2215	233881
2151	3880	2344	2268	170624
2151	3880	2320	2774	125145
2151	3880	2305	3689	25077
2151	3880	2310	3781	18773
2151	3880	2411	3781	29725
2151	3880	2467	2718	132853
2151	3880	1451	2969	141963
2151	3880	2532	2531	154002
2151	3880	1513	2973	137290
2151	3880	1506	3402	91808
2151	3880	2542	3764	43051
2151	3880	2569	2295	177087
2151	3880	2569	2295	176987
2151	3880	1555	2772	135436
2151	3880	2579	2843	138309
2151	3880	2612	3841	49043
2151	3880	2660	2392	171802
2151	3880	2651	2677	148819
2151	3880	2685	3162	173771
2151	3880	2670	3266	184431
2151	3880	2629	3704	53163
2151	3880	2751	2951	158566
2151	3880	2746	3304	190365
2151	3880	1726	3453	68828
2151	3880	2808	2509	173177
2151	3880	1758	2655	132879
2151	3880	1776	3141	87355
2151	3880	2759	3229	188537
2151	3880	2796	3413	202241
2151	3880	2849	2325	187711
2151	3880	2878	3335	202306
2151	3880	1844	3688	39832
2151	3880	2860	3970	72984
2151	3880	1873	2983	97735
2151	3880	2907	3225	202683
2151	3880	1862	3307	66804
2151	3880	1892	3428	54720
2151	3880	2927	4055	81793
2151	3880	2996	2287	200291
2151	3880	2965	2608	181830
2151	3880	1922	2759	119424
2151	3880	1958	3113	82471
2151	3880	2960	3146	205739
2151	3880	1953	4056	30884
2151	3880	3060	2638	190216
2151	3880	3069	2986	192412
2151	3880	3050	3192	210439
2193	2319	2059	2605	31068
2193	2319	2095	3188	89730
2193	2319	2079	3689	143085
2193	2319	3173	2368	100228
2193	2319	3145	2824	109342
2193	2319	2143	3121	83408
2193	2319	2157	3325	104144
2193	2319	2148	3531	124452
2193	2319	2151	3880	161015
2193	2319	1201	2733	108639
2193	2319	2220	3466	125398
2193	2319	2282	2821	52737
2193	2319	3353	2215	121176
2193	2319	2344	2268	20489
2193	2319	2320	2774	47796
2193	2319	2305	3689	146052
2193	2319	2310	3781	154061
2193	2319	2411	3781	160569
2193	2319	2467	2718	48853
2193	2319	1451	2969	98574
2193	2319	2532	2531	41537
2193	2319	1513	2973	93901
2193	2319	1506	3402	135143
2193	2319	2542	3764	172856
2193	2319	2569	2295	40780
2193	2319	2569	2295	40756
2193	2319	1555	2772	78208
2193	2319	2579	2843	65825
2193	2319	2612	3841	181310
2193	2319	2660	2392	50599
2193	2319	2651	2677	59166
2193	2319	2685	3162	100911
2193	2319	2670	3266	111571
2193	2319	2629	3704	179770
2193	2319	2751	2951	84581
2193	2319	2746	3304	117505
2193	2319	1726	3453	123712
2193	2319	2808	2509	67685
2193	2319	1758	2655	54467
2193	2319	1776	3141	106635
2193	2319	2759	3229	115677
2193	2319	2796	3413	129381
2193	2319	2849	2325	68036
2193	2319	2878	3335	129446
2193	2319	1844	3688	144356
2193	2319	2860	3970	209688
2193	2319	1873	2983	74003
2193	2319	2907	3225	129823
2193	2319	1862	3307	106116
2193	2319	1892	3428	117455
2193	2319	2927	4055	220010
2193	2319	2996	2287	83860
2193	2319	2965	2608	85702
2193	2319	1922	2759	51284
2193	2319	1958	3113	84852
2193	2319	2960	3146	127065
2193	2319	1953	4056	178540
2193	2319	3060	2638	95576
2193	2319	3069	2986	113738
2193	2319	3050	3192	131765
1201	2733	2059	2605	88548
1201	2733	2095	3188	105316
1201	2733	2079	3689	150009
1201	2733	3173	2368	205960
1201	2733	3145	2824	196432
1201	2733	2143	3121	103971
1201	2733	2157	3325	117037
1201	2733	2148	3531	133563
1201	2733	2151	3880	168035
1201	2733	2193	2319	108639
1201	2733	2220	3466	135121
1201	2733	2282	2821	115448
1201	2733	3353	2215	227484
1201	2733	2344	2268	126797
1201	2733	2320	2774	112584
1201	2733	2305	3689	155775
1201	2733	2310	3781	163784
1201	2733	2411	3781	170292
1201	2733	2467	2718	127312
1201	2733	1451	2969	41755
1201	2733	2532	2531	139749
1201	2733	1513	2973	41327
1201	2733	1506	3402	132131
1201	2733	2542	3764	182579
1201	2733	2569	2295	147088
1201	2733	2569	2295	147064
1201	2733	1555	2772	36412
1201	2733	2579	2843	140809
1201	2733	2612	3841	191033
1201	2733	2660	2392	155611
1201	2733	2651	2677	146196
1201	2733	2685	3162	176271
1201	2733	2670	3266	186931
1201	2733	2629	3704	189493
1201	2733	2751	2951	161066
1201	2733	2746	3304	192865
1201	2733	1726	3453	120700
1201	2733	2808	2509	167081
1201	2733	1758	2655	59742
1201	2733	1776	3141	103623
1201	2733	2759	3229	191037
1201	2733	2796	3413	204741
1201	2733	2849	2325	174344
1201	2733	2878	3335	204806
1201	2733	1844	3688	142688
1201	2733	2860	3970	219411
1201	2733	1873	2983	73354
1201	2733	2907	3225	205183
1201	2733	1862	3307	103104
1201	2733	1892	3428	116267
1201	2733	2927	4055	229733
1201	2733	2996	2287	190168
1201	2733	2965	2608	180346
1201	2733	1922	2759	72724
1201	2733	1958	3113	88173
1201	2733	2960	3146	208239
1201	2733	1953	4056	179368
1201	2733	3060	2638	188732
1201	2733	3069	2986	194912
1201	2733	3050	3192	212939
2220	3466	2059	2605	95914
2220	3466	2095	3188	36394
2220	3466	2079	3689	30575
2220	3466	3173	2368	175040
2220	3466	3145	2824	158315
2220	3466	2143	3121	43407
2220	3466	2157	3325	23219
2220	3466	2148	3531	10801
2220	3466	2151	3880	45158
2220	3466	2193	2319	125398
2220	3466	1201	2733	135121
2220	3466	2282	2821	85848
2220	3466	3353	2215	198264
2220	3466	2344	2268	135007
2220	3466	2320	2774	89528
2220	3466	2305	3689	25070
2220	3466	2310	3781	34354
2220	3466	2411	3781	39587
2220	3466	2467	2718	97236
2220	3466	1451	2969	109049
2220	3466	2532	2531	118385
2220	3466	1513	2973	104376
2220	3466	1506	3402	73108
2220	3466	2542	3764	51874
2220	3466	2569	2295	141470
2220	3466	2569	2295	141370
2220	3466	1555	2772	102522
2220	3466	2579	2843	102692
2220	3466	2612	3841	60328
2220	3466	2660	2392	136185
2220	3466	2651	2677	113202
2220	3466	2685	3162	138154
2220	3466	2670	3266	148814
2220	3466	2629	3704	58788
2220	3466	2751	2951	122949
2220	3466	2746	3304	154748
2220	3466	1726	3453	50752
2220	3466	2808	2509	137560
2220	3466	1758	2655	97262
2220	3466	1776	3141	60199
2220	3466	2759	3229	152920
2220	3466	2796	3413	166624
2220	3466	2849	2325	152094
2220	3466	2878	3335	166689
2220	3466	1844	3688	44955
2220	3466	2860	3970	88706
2220	3466	1873	2983	62917
2220	3466	2907	3225	167066
2220	3466	1862	3307	40072
2220	3466	1892	3428	33740
2220	3466	2927	4055	99028
2220	3466	2996	2287	164674
2220	3466	2965	2608	146213
2220	3466	1922	2759	83807
2220	3466	1958	3113	46973
2220	3466	2960	3146	170122
2220	3466	1953	4056	66811
2220	3466	3060	2638	154599
2220	3466	3069	2986	156795
2220	3466	3050	3192	174822
2282	2821	2059	2605	35084
2282	2821	2095	3188	50564
2282	2821	2079	3689	103919
2282	2821	3173	2368	100853
2282	2821	3145	2824	86508
2282	2821	2143	3121	42754
2282	2821	2157	3325	63586
2282	2821	2148	3531	84902
2282	2821	2151	3880	121465
2282	2821	2193	2319	52737
2282	2821	1201	2733	115448
2282	2821	2220	3466	85848
2282	2821	3353	2215	124077
2282	2821	2344	2268	56970
2282	2821	2320	2774	6122
2282	2821	2305	3689	106502
2282	2821	2310	3781	114511
2282	2821	2411	3781	121019
2282	2821	2467	2718	21105
2282	2821	1451	2969	94800
2282	2821	2532	2531	40279
2282	2821	1513	2973	90127
2282	2821	1506	3402	110918
2282	2821	2542	3764	133306
2282	2821	2569	2295	60271
2282	2821	2569	2295	60188
2282	2821	1555	2772	79951
2282	2821	2579	2843	30885
2282	2821	2612	3841	141760
2282	2821	2660	2392	58079
2282	2821	2651	2677	40256
2282	2821	2685	3162	66347
2282	2821	2670	3266	77007
2282	2821	2629	3704	140220
2282	2821	2751	2951	51142
2282	2821	2746	3304	82941
2282	2821	1726	3453	95957
2282	2821	2808	2509	63373
2282	2821	1758	2655	60824
2282	2821	1776	3141	83804
2282	2821	2759	3229	81113
2282	2821	2796	3413	94817
2282	2821	2849	2325	75663
2282	2821	2878	3335	94882
2282	2821	1844	3688	106738
2282	2821	2860	3970	170138
2282	2821	1873	2983	55164
2282	2821	2907	3225	95259
2282	2821	1862	3307	76559
2282	2821	1892	3428	82268
2282	2821	2927	4055	180460
2282	2821	2996	2287	90093
2282	2821	2965	2608	74406
2282	2821	1922	2759	43029
2282	2821	1958	3113	57360
2282	2821	2960	3146	98315
2282	2821	1953	4056	140718
2282	2821	3060	2638	82792
2282	2821	3069	2986	84988
2282	2821	3050	3192	103015
3353	2215	2059	2605	139297
3353	2215	2095	3188	162980
3353	2215	2079	3689	216335
3353	2215	3173	2368	23615
3353	2215	3145	2824	66915
3353	2215	2143	3121	155170
3353	2215	2157	3325	176002
3353	2215	2148	3531	197318
3353	2215	2151	3880	233881
3353	2215	2193	2319	121176
3353	2215	1201	2733	227484
3353	2215	2220	3466	198264
3353	2215	2282	2821	124077
3353	2215	2344	2268	103776
3353	2215	2320	2774	118999
3353	2215	2305	3689	218918
3353	2215	2310	3781	226927
3353	2215	2411	3781	233435
3353	2215	2467	2718	103891
3353	2215	1451	2969	208468
3353	2215	2532	2531	89536
3353	2215	1513	2973	203795
3353	2215	1506	3402	223334
3353	2215	2542	3764	245722
3353	2215	2569	2295	81023
3353	2215	2569	2295	80923
3353	2215	1555	2772	192947
3353	2215	2579	2843	101233
3353	2215	2612	3841	254176
3353	2215	2660	2392	73596
3353	2215	2651	2677	85580
3353	2215	2685	3162	121192
3353	2215	2670	3266	131852
3353	2215	2629	3704	252636
3353	2215	2751	2951	98656
3353	2215	2746	3304	131155
3353	2215	1726	3453	208373
3353	2215	2808	2509	62146
3353	2215	1758	2655	169308
3353	2215	1776	3141	196680
3353	2215	2759	3229	127840
3353	2215	2796	3413	136787
3353	2215	2849	2325	54628
3353	2215	2878	3335	124753
3353	2215	1844	3688	219154
3353	2215	2860	3970	250426
3353	2215	1873	2983	168832
3353	2215	2907	3225	113005
3353	2215	1862	3307	188975
3353	2215	1892	3428	194684
3353	2215	2927	4055	245618
3353	2215	2996	2287	37452
3353	2215	2965	2608	56186
3353	2215	1922	2759	156025
3353	2215	1958	3113	169776
3353	2215	2960	3146	103071
3353	2215	1953	4056	253134
3353	2215	3060	2638	55186
3353	2215	3069	2986	84555
3353	2215	3050	3192	105857
2344	2268	2059	2605	44893
2344	2268	2095	3188	99339
2344	2268	2079	3689	152694
2344	2268	3173	2368	85276
2344	2268	3145	2824	98623
2344	2268	2143	3121	93017
2344	2268	2157	3325	113753
2344	2268	2148	3531	134061
2344	2268	2151	3880	170624
2344	2268	2193	2319	20489
2344	2268	1201	2733	126797
2344	2268	2220	3466	135007
2344	2268	2282	2821	56970
2344	2268	3353	2215	103776
2344	2268	2320	2774	51213
2344	2268	2305	3689	155661
2344	2268	2310	3781	163670
2344	2268	2411	3781	170178
2344	2268	2467	2718	48121
2344	2268	1451	2969	115329
2344	2268	2532	2531	33083
2344	2268	1513	2973	110656
2344	2268	1506	3402	146622
2344	2268	2542	3764	182465
2344	2268	2569	2295	22948
2344	2268	2569	2295	22972
2344	2268	1555	2772	94963
2344	2268	2579	2843	63257
2344	2268	2612	3841	190919
2344	2268	2660	2392	35647
2344	2268	2651	2677	52097
2344	2268	2685	3162	97697
2344	2268	2670	3266	108357
2344	2268	2629	3704	189379
2344	2268	2751	2951	80262
2344	2268	2746	3304	114291
2344	2268	1726	3453	134511
2344	2268	2808	2509	52988
2344	2268	1758	2655	71222
2344	2268	1776	3141	118114
2344	2268	2759	3229	112463
2344	2268	2796	3413	126167
2344	2268	2849	2325	51692
2344	2268	2878	3335	126232
2344	2268	1844	3688	153965
2344	2268	2860	3970	219297
2344	2268	1873	2983	87199
2344	2268	2907	3225	126609
2344	2268	1862	3307	115725
2344	2268	1892	3428	127064
2344	2268	2927	4055	229619
2344	2268	2996	2287	66460
2344	2268	2965	2608	71651
2344	2268	1922	2759	65364
2344	2268	1958	3113	94461
2344	2268	2960	3146	116815
2344	2268	1953	4056	188149
2344	2268	3060	2638	81151
2344	2268	3069	2986	103046
2344	2268	3050	3192	121515
2320	2774	2059	2605	31608
2320	2774	2095	3188	54244
2320	2774	2079	3689	107599
2320	2774	3173	2368	96251
2320	2774	3145	2824	85208
2320	2774	2143	3121	46434
2320	2774	2157	3325	67266
2320	2774	2148	3531	88582
2320	2774	2151	3880	125145
2320	2774	2193	2319	47796
2320	2774	1201	2733	112584
2320	2774	2220	3466	89528
2320	2774	2282	2821	6122
2320	2774	3353	2215	118999
